MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
SSD;2048;uint8_t;1;1;clock();2.280000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.520000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;2;clock();2.310000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.240000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;3;clock();2.230000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.240000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;4;clock();2.200000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.320000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;5;clock();2.210000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.240000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;6;clock();2.210000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.230000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;7;clock();2.310000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.240000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;8;clock();2.200000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.230000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;9;clock();2.300000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.270000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;1;10;clock();2.230000e-04;2.248000e-04;9.110320e+12;4.422669e-06;8.701068e-06%;1.530000e-04;1.306000e-04;1.568147e+13;1.124455e-05;9.681470e-05%;
SSD;2048;uint8_t;2048;1;clock();2.000000e-06;1.700000e-06;1.204706e+15;7.810250e-07;3.588235e-05%;2.000000e-06;1.900000e-06;1.077895e+15;3.000000e-07;4.736842e-06%;
SSD;2048;uint8_t;2048;2;clock();3.000000e-06;1.700000e-06;1.204706e+15;7.810250e-07;3.588235e-05%;2.000000e-06;1.900000e-06;1.077895e+15;3.000000e-07;4.736842e-06%;
